time_since_prelaunched,liked_count,timestamp
3d - 1h - 36m,84,2024-06-02 18:10:00
3d - 1h - 46m,84,2024-06-02 18:20:00
3d - 1h - 56m,84,2024-06-02 18:30:00
3d - 2h - 6m,84,2024-06-02 18:40:00
3d - 2h - 16m,84,2024-06-02 18:50:00
3d - 2h - 26m,84,2024-06-02 19:00:00
3d - 2h - 36m,84,2024-06-02 19:10:00
3d - 2h - 46m,84,2024-06-02 19:20:00
3d - 2h - 56m,84,2024-06-02 19:30:00
3d - 3h - 6m,84,2024-06-02 19:40:00
3d - 3h - 16m,84,2024-06-02 19:50:00
3d - 3h - 26m,84,2024-06-02 20:00:00
3d - 3h - 36m,84,2024-06-02 20:10:00
3d - 3h - 46m,85,2024-06-02 20:20:00
3d - 3h - 56m,85,2024-06-02 20:30:00
3d - 4h - 6m,87,2024-06-02 20:40:00
3d - 4h - 16m,87,2024-06-02 20:50:00
3d - 4h - 26m,87,2024-06-02 21:00:00
3d - 4h - 36m,87,2024-06-02 21:10:00
3d - 4h - 46m,87,2024-06-02 21:20:00
3d - 4h - 56m,87,2024-06-02 21:30:00
3d - 5h - 6m,87,2024-06-02 21:40:00
3d - 5h - 16m,87,2024-06-02 21:50:00
3d - 5h - 26m,87,2024-06-02 22:00:00
3d - 5h - 36m,87,2024-06-02 22:10:00
3d - 5h - 46m,87,2024-06-02 22:20:00
3d - 5h - 56m,87,2024-06-02 22:30:00
3d - 6h - 6m,86,2024-06-02 22:40:00
3d - 6h - 16m,86,2024-06-02 22:50:00
3d - 6h - 26m,86,2024-06-02 23:00:00
3d - 6h - 36m,86,2024-06-02 23:10:00
3d - 6h - 46m,87,2024-06-02 23:20:00
3d - 6h - 56m,87,2024-06-02 23:30:00
3d - 7h - 6m,87,2024-06-02 23:40:00
3d - 7h - 16m,87,2024-06-02 23:50:00
3d - 7h - 26m,88,2024-06-03 00:00:00
3d - 7h - 36m,88,2024-06-03 00:10:00
3d - 7h - 46m,88,2024-06-03 00:20:00
3d - 7h - 56m,88,2024-06-03 00:30:00
3d - 8h - 6m,88,2024-06-03 00:40:00
3d - 8h - 16m,88,2024-06-03 00:50:00
3d - 8h - 26m,88,2024-06-03 01:00:00
3d - 8h - 36m,88,2024-06-03 01:10:00
3d - 8h - 46m,88,2024-06-03 01:20:00
